arm,sparsity,arm_label,ladder_position,representation,native_or_simulated,n_cells,jaccard_median,jaccard_iqr,jaccard_p05,recall_median,spearman_rho_median,frac_decisions_changed_median,frac_query_blocks_changed_median,swaps_per_query_block_median,jaccard_pooling_only_median,jaccard_vs_study1_arm_median,deployed_score_ties_median,deployed_score_ties_max,exact_ties_fp64_total,reference_margin_norm_fp64_median,changed_pair_gap_fp64_median,rel_l2_median,cosine_median,sparsification_error_median,wrong_mask_excess_median,wrong_mask_excess_iqr,wrong_mask_excess_p90,abs_wrong_mask_over_sparsification_median,abs_wrong_mask_over_sparsification_p90,frac_cells_arm_worse_than_reference,random_matched_excess_median,isolation_ratio_median_of_medians,isolation_ratio_abs,frac_cells_random_worse_than_arm,pool_semantics,score_semantics,region
R8,0.9,"repr=bf16, pool=fp32+nvfp4/native, score=fp32/native",nvfp4_like,bf16,simulated,864,0.8790980014226109,0.04391078488390132,0.7498931851280283,0.9356595552884616,0.9946081316686758,0.01306915283203125,0.99609375,3.345703125,0.8790980014226109,0.8892318632971329,0.0,3,0,0.0015675919284743526,0.020201826993863164,0.0706399530172348,0.9976993799209595,0.07014293968677521,0.0003076363354921341,0.0017678970471024513,0.0041924923658370975,0.013648183307557623,0.11301285263050513,0.6412037037037037,0.012328972574323416,40.07645115977743,40.07645115977743,0.6990740740740741,pool=fp32_values_torch_sum_acc_fp32+pooled_rounded_to_nvfp4_e2m1_per16_e4m3_sf,score=fp32_values_torch_matmul_acc_fp32_tf32_disabled,affected
R9,0.9,"repr=nvfp4, pool=fp32+nvfp4/native, score=fp32/native",nvfp4_like,nvfp4,simulated,864,0.8749295867631898,0.04799503259167226,0.7451610760759423,0.9332932692307692,0.994478480440077,0.0135498046875,0.99609375,3.46875,0.8749295867631898,0.8916480183026485,0.0,2,0,0.0015675919284743526,0.021034306055306144,0.07060010731220245,0.9977308511734009,0.07014293968677521,0.0003992081619799137,0.0020931395702064037,0.00473946388810873,0.015634367336357247,0.09971757572129174,0.6655092592592593,0.01155597809702158,28.947249073537286,28.947249073537286,0.6990740740740741,pool=fp32_values_torch_sum_acc_fp32+pooled_rounded_to_nvfp4_e2m1_per16_e4m3_sf,score=fp32_values_torch_matmul_acc_fp32_tf32_disabled,affected
R0,0.9,"repr=bf16, pool=fp64/native, score=fp64/native",fp64,bf16,native,4320,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.9737563940988954,0.0,0,0,0.0016785750226894426,,0.15144270658493042,0.9904702007770538,0.15144270658493042,0.0,0.0,0.0,0.0,0.0,0.0,,,,,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64,all
R1,0.9,"repr=nvfp4, pool=fp64/native, score=fp64/native",fp64,nvfp4,native,4320,0.9737563940988954,0.018685462447666334,0.9346025287022236,0.9867037259615384,0.9997305223566662,0.0027008056640625,0.58203125,0.69140625,0.9737563940988954,,0.0,0,0,0.0016785750226894426,0.003114376089245197,0.15149404853582382,0.9904647469520569,0.15144270658493042,2.652546390891075e-05,0.00041032955050468445,0.0007519006729125976,0.0014766523887477074,0.011102464012784283,0.5472222222222223,0.0008171573281288147,30.80652353281955,30.80652353281955,0.6516203703703703,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64,all
R2,0.9,"repr=bf16, pool=fp32/native, score=fp32/native",fp32,bf16,native,4320,1.0,0.0,1.0,1.0,0.9999999992141936,0.0,0.0,0.0,1.0,0.9737563940988954,0.0,1,0,0.0016785750226894426,7.298292666209903e-08,0.15144270658493042,0.9904702007770538,0.15144270658493042,0.0,0.0,0.0,0.0,0.0,0.0030092592592592593,0.0,,,0.002777777777777778,pool=fp32_values_torch_sum_acc_fp32,score=fp32_values_torch_matmul_acc_fp32_tf32_disabled,all
R3,0.9,"repr=nvfp4, pool=fp32/native, score=fp32/native",fp32,nvfp4,native,4320,0.9737563940988954,0.018685462447666334,0.9346025287022236,0.9867037259615384,0.999730524757722,0.0027008056640625,0.58203125,0.69140625,0.9737563940988954,1.0,0.0,1,0,0.0016785750226894426,0.0031100879814901696,0.15149404853582382,0.9904647469520569,0.15144270658493042,2.652546390891075e-05,0.00041032955050468445,0.0007487684488296509,0.0014766523887477074,0.011102464012784283,0.5472222222222223,0.0008083023130893707,30.472692800589858,30.472692800589858,0.6504629629629629,pool=fp32_values_torch_sum_acc_fp32,score=fp32_values_torch_matmul_acc_fp32_tf32_disabled,all
R4,0.9,"repr=bf16, pool=bf16/native, score=bf16/native",bf16_acc_fp32,bf16,native,4320,0.9904306220095693,0.008473749589411494,0.9687939066775124,0.9951923076923077,0.9999887378669607,0.0009765625,0.2421875,0.25,0.9967001649917504,0.9715639810426541,95.0,247,0,0.0016785750226894426,0.0009490144026898763,0.15140491724014282,0.9904767870903015,0.15144270658493042,-5.131587386131287e-06,0.00019221287220716476,0.0003142751753330231,0.0007311133696619684,0.003281115758419059,0.46458333333333335,0.00031855516135692596,-62.077313974591654,62.077313974591654,0.6833333333333333,pool=bf16_values_torch_sum_acc_fp32,score=bf16_values_torch_matmul_acc_fp32,all
R5,0.9,"repr=nvfp4, pool=bf16/native, score=bf16/native",bf16_acc_fp32,nvfp4,native,4320,0.9715639810426541,0.01951511619373658,0.9323489177830944,0.9855769230769231,0.9997278779666838,0.0029296875,0.6171875,0.75,0.9736100815418829,0.9904306220095693,95.0,240,0,0.0016785750226894426,0.00348346294622248,0.15148421376943588,0.9904742240905762,0.15144270658493042,2.5807879865169525e-05,0.00046898797154426575,0.0008246004581451416,0.001752613316534088,0.011355662833553045,0.5416666666666666,0.0009121224284172058,35.34278806250226,35.34278806250226,0.6699074074074074,pool=bf16_values_torch_sum_acc_fp32,score=bf16_values_torch_matmul_acc_fp32,all
R4L,0.9,"repr=bf16, pool=bf16/low, score=bf16/low",bf16_acc_bf16,bf16,native,4320,0.9541267595770012,0.027222917306128913,0.8896944794979458,0.9765249399038461,0.9995732027467887,0.00476837158203125,0.81640625,1.220703125,0.9810997842101347,0.9473376243417203,96.0,249,0,0.0016785750226894426,0.006735596250979082,0.1515042632818222,0.9904171228408813,0.15144270658493042,-2.695247530937195e-06,0.0005725529044866562,0.0007563844323158264,0.0021528047009067392,0.014333363888897712,0.4962962962962963,0.0017550326883792877,-651.1582584657913,651.1582584657913,0.6729166666666667,pool=bf16_values_sequential_acc_bf16,score=bf16_values_sequential_rank1_acc_bf16,all
R5L,0.9,"repr=nvfp4, pool=bf16/low, score=bf16/low",bf16_acc_bf16,nvfp4,native,4320,0.9457721259957612,0.03500582660739937,0.8753059632713516,0.9721304086538461,0.9993135424116454,0.0056610107421875,0.8671875,1.44921875,0.9667577749870725,0.9520492704743749,95.0,243,0,0.0016785750226894426,0.008259077934988836,0.15174803882837296,0.9904402196407318,0.15144270658493042,3.182515501976013e-05,0.0007152189500629902,0.0010117962956428528,0.002662070794562604,0.01963322871642677,0.5342592592592592,0.001989595592021942,62.51644621327402,62.51644621327402,0.6736111111111112,pool=bf16_values_sequential_acc_bf16,score=bf16_values_sequential_rank1_acc_bf16,all
R6,0.9,"repr=bf16, pool=fp32+fp8_e4m3/native, score=fp8_e4m3/native",fp8,bf16,native,4320,0.9586551901714118,0.02069511678435554,0.9092147723198278,0.9788912259615384,0.9993137926229225,0.0042877197265625,0.779296875,1.09765625,0.9586551901714118,0.9513339196716506,0.0,1,0,0.0016785750226894426,0.005785615664380369,0.15140420198440552,0.9904709458351135,0.15144270658493042,1.0293908417224884e-05,0.00046442076563835144,0.0006648167967796325,0.00172138998264721,0.011205025018268307,0.5212962962962963,0.0014316756278276443,139.07988781326335,139.07988781326335,0.6615740740740741,pool=fp32_values_torch_sum_acc_fp32+pooled_rounded_to_fp8_e4m3_per_head_amax,score=fp8_e4m3_torch_scaled_mm_acc_fp32_native,all
R7,0.9,"repr=nvfp4, pool=fp32+fp8_e4m3/native, score=fp8_e4m3/native",fp8,nvfp4,native,4320,0.9511909124221326,0.027645434389686807,0.8951961687241191,0.9749849759615384,0.9990671798945476,0.0050811767578125,0.8359375,1.30078125,0.9511909124221326,0.9586551901714118,0.0,1,0,0.0016785750226894426,0.007155713628812354,0.15134494006633759,0.9904667437076569,0.15144270658493042,4.65884804725647e-05,0.0006194030866026878,0.0010108958929777145,0.002286226659712345,0.016056237939533136,0.5578703703703703,0.0016076043248176575,34.50647689109228,34.50647689109228,0.6560185185185186,pool=fp32_values_torch_sum_acc_fp32+pooled_rounded_to_fp8_e4m3_per_head_amax,score=fp8_e4m3_torch_scaled_mm_acc_fp32_native,all
R8,0.9,"repr=bf16, pool=fp32+nvfp4/native, score=fp32/native",nvfp4_like,bf16,simulated,4320,0.8847515220161405,0.0485660068484044,0.7757561007016915,0.9388521634615384,0.9938393988454595,0.012420654296875,0.9921875,3.1796875,0.8847515220161405,0.8884948219605617,0.0,3,0,0.0016785750226894426,0.02061390397393173,0.15216714143753052,0.9903858304023743,0.15144270658493042,0.0002780621871352196,0.001730324700474739,0.002541280165314674,0.00724634645276746,0.03944361724304736,0.6006944444444444,0.004541702568531036,16.33340590219281,16.33340590219281,0.6597222222222222,pool=fp32_values_torch_sum_acc_fp32+pooled_rounded_to_nvfp4_e2m1_per16_e4m3_sf,score=fp32_values_torch_matmul_acc_fp32_tf32_disabled,all
R9,0.9,"repr=nvfp4, pool=fp32+nvfp4/native, score=fp32/native",nvfp4_like,nvfp4,simulated,4320,0.8819537711175515,0.050573866613748186,0.7711489787218873,0.9372746394230769,0.99358946966982,0.0127410888671875,0.9921875,3.26171875,0.8819537711175515,0.8895670688431512,0.0,2,0,0.0016785750226894426,0.02113352391784278,0.15215444564819336,0.9903677701950073,0.15144270658493042,0.00032051093876361847,0.0018449705094099045,0.002817210555076599,0.007773327062931807,0.04430330861244182,0.6150462962962963,0.004550240933895111,14.196835064187873,14.196835064187873,0.6618055555555555,pool=fp32_values_torch_sum_acc_fp32+pooled_rounded_to_nvfp4_e2m1_per16_e4m3_sf,score=fp32_values_torch_matmul_acc_fp32_tf32_disabled,all
R0,0.9,"repr=bf16, pool=fp64/native, score=fp64/native",fp64,bf16,native,864,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.9741954619605517,0.0,0,0,0.0017112172951748367,,0.14754842966794968,0.9913749992847443,0.14754842966794968,0.0,0.0,0.0,0.0,0.0,0.0,,,,,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64,broad
R1,0.9,"repr=nvfp4, pool=fp64/native, score=fp64/native",fp64,nvfp4,native,864,0.9741954619605517,0.017432276890103737,0.9429819389003233,0.9869290865384616,0.9997293406784342,0.002655029296875,0.576171875,0.6796875,0.9741954619605517,,0.0,0,0,0.0017112172951748367,0.0030860568492472613,0.1474638283252716,0.9913893043994904,0.14754842966794968,4.337076097726822e-05,0.0004156883805990219,0.0007638024166226387,0.001514841932938118,0.007860416254674124,0.5671296296296297,0.0010491088032722473,24.189310485516117,24.189310485516117,0.6828703703703703,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64,broad
R2,0.9,"repr=bf16, pool=fp32/native, score=fp32/native",fp32,bf16,native,864,1.0,0.0,1.0,1.0,0.9999999991268818,0.0,0.0,0.0,1.0,0.9741954619605517,0.0,1,0,0.0017112172951748367,6.835215155336105e-08,0.14755266159772873,0.9913749992847443,0.14754842966794968,0.0,0.0,0.0,0.0,0.0,0.003472222222222222,0.0,,,0.006944444444444444,pool=fp32_values_torch_sum_acc_fp32,score=fp32_values_torch_matmul_acc_fp32_tf32_disabled,broad
